swsLengthHR,swsTimeHR,swsLengthT,swsTimeT,decreasePercentageT,swsTimeM,swsLengthM,decreasePercentageM,amountAsleep,amountAwake,sleepEfficiency,timesAwoken,epochCapacity,epochPeak,epochPeakCounter,stormPeak,largestStorm,timesEdaStorm,meanEdaStorm,lengthEdaStorm
0.04047,0.04167,0.24021,0.13793,0.8003,0.26316,0.56687,0.71238,0.24372,0.12162,0.89523,0.16129,3.20659,0.69893,2.93056,0.95269,0.4413,0.03846,0.42583,3.07378
0.13142,0.04167,0.37013,0.17241,0.79407,0.0,-1.00196,0.7304,0.2206,0.1036,0.8972,0.19355,1.43229,0.5473,1.33797,0.86081,0.20108,0.29808,0.03438,1.29822
0.27123,0.125,0.48884,0.17241,0.73867,0.18421,0.99413,0.63981,0.24925,0.06757,0.93967,0.12903,1.69424,0.54895,1.81236,0.90295,0.33873,0.26923,0.04818,1.85099
0.07737,0.04167,0.0,0.0,0.0,0.15789,0.90962,0.74585,0.20754,0.11712,0.8779,0.19355,-0.651,0.10651,-0.49182,-0.04634,0.02699,0.34615,0.00308,-0.57784
0.1007,0.08333,0.06576,0.03448,0.76057,0.13158,1.01471,0.49589,0.25025,0.05405,0.95127,0.03226,0.4717,0.30283,0.86358,0.738,0.19163,0.38462,0.01911,0.75802
0.06369,0.04167,0.39228,0.13793,0.73069,0.18421,0.45976,0.67106,0.21457,0.24324,0.7773,0.29032,-0.8815,0.0358,-0.83067,-1.6977,0.01619,0.125,0.00415,-0.87935
0.36625,0.20833,0.5483,0.10345,0.69648,0.15789,-0.01975,0.57773,0.22915,0.06306,0.93525,0.12903,0.44969,0.37587,0.57556,0.74974,0.20108,0.26923,0.02376,0.47326
0.11921,0.08333,0.14587,0.03448,0.82463,0.21053,2.18003,0.64442,0.20804,0.04505,0.9468,0.09677,1.46438,0.39039,1.16007,0.88251,0.24157,0.23077,0.04306,1.19353
0.0,0.0,0.0,0.0,0.88424,0.15789,-0.1699,0.93473,0.25528,0.34685,0.74592,0.3871,0.17517,0.4777,0.30871,0.79484,0.17274,0.32692,0.01679,0.32669
0.45187,0.29167,0.34089,0.13793,0.74386,0.31579,1.5713,0.7526,0.2794,0.22523,0.84184,0.19355,-0.33819,0.29843,-0.05978,0.48254,0.02564,0.49038,0.00571,-0.09626
0.56138,0.41667,0.6797,0.27586,0.77675,0.31579,1.26175,0.59404,0.31809,0.16216,0.90101,0.12903,0.39077,0.572,0.92288,0.79799,0.20783,0.46154,0.01661,0.88365
0.0,0.0,0.14206,0.10345,0.80762,0.21053,0.17509,0.81933,0.26181,0.22072,0.83321,0.32258,1.79624,0.54572,1.97331,0.89699,0.2834,0.31731,0.04268,1.99756
0.0,0.0,0.1701,0.10345,0.7426,0.44737,1.43425,0.44465,0.49497,0.17568,0.93831,0.16129,-0.57185,0.30938,0.10964,0.7682,0.09177,0.34615,0.01309,0.14244
0.0,0.0,0.0,0.0,0.73873,0.13158,0.17632,0.88855,0.10302,0.10811,0.76402,0.06452,1.65143,0.623,0.05881,0.89584,0.1309,0.24038,0.02169,0.20525
0.0,0.0,0.0,0.0,0.67266,0.0,-1.00196,0.96306,0.09246,0.13063,0.70666,0.19355,0.6303,0.29493,-0.513,0.50023,0.08502,0.21154,0.01067,-0.43964
0.0,0.0,0.0,0.0,0.82995,0.0,-1.00196,0.95774,0.08442,0.05405,0.82457,0.09677,-0.81235,0.11728,-1.11869,-0.76235,0.0027,0.08654,0.00086,-1.00916
0.42343,0.16667,0.0,0.0,0.71126,0.10526,-0.16729,0.63914,0.16231,0.03153,0.94042,0.03226,-0.38492,0.33632,-0.60194,0.39191,0.02564,0.17308,0.01065,-0.5569
0.30417,0.125,0.0,0.0,0.86843,0.0,-1.00196,0.8486,0.15628,0.08559,0.8701,0.06452,0.78562,0.3099,0.27906,0.77275,0.09447,0.40385,0.01267,0.30994
0.45148,0.16667,0.07875,0.03448,0.70478,0.10526,2.19051,0.76489,0.18744,0.03153,0.94816,0.03226,0.2073,0.30996,-0.13603,0.58598,0.07018,0.31731,0.01108,-0.09207
0.23378,0.125,0.0,0.0,0.67651,0.21053,0.82797,0.78838,0.26633,0.04955,0.96084,0.09677,0.32379,0.38884,0.51202,0.69872,0.08907,0.48077,0.01182,0.49001
0.06268,0.04167,0.31408,0.13793,0.75903,0.15789,0.05505,0.68411,0.20553,0.31532,0.71106,0.16129,-0.86452,0.13491,-0.97468,-0.87786,0.0054,0.14423,0.00148,-0.9296
0.0,0.0,0.32574,0.17241,0.74636,0.05263,-0.73603,0.49627,0.25729,0.17568,0.86335,0.06452,-0.72161,0.14319,-0.68242,-0.96646,0.01215,0.26923,0.00163,-0.77466
0.14884,0.08333,0.0,0.0,0.7137,0.18421,1.46884,0.55626,0.23317,0.09009,0.91527,0.06452,-0.54847,0.25711,-0.56806,0.10633,0.02834,0.26923,0.00542,-0.56109
0.311,0.20833,0.0,0.0,0.71421,0.26316,1.46137,0.72142,0.23266,0.22523,0.80832,0.19355,-0.60255,0.27021,-0.66548,0.37956,0.02159,0.21154,0.00711,-0.59877
0.08659,0.04167,0.0,0.0,0.7441,0.0,-1.00196,0.61898,0.24221,0.11712,0.89891,0.09677,-0.7263,0.21585,-0.73748,-0.10598,0.02024,0.19231,0.00492,-0.73278
0.17854,0.125,0.05041,0.03448,0.79717,0.26316,1.61816,0.71362,0.25427,0.15315,0.87742,0.12903,-0.86042,0.10021,-0.88573,-0.86427,0.00405,0.21154,0.00131,-0.85841
0.19217,0.08333,0.1293,0.06897,0.76007,0.18421,0.18222,0.64884,0.20955,0.31532,0.71768,0.12903,-0.85977,0.12937,-0.97044,-0.7273,0.0081,0.125,0.00231,-0.9296
0.14278,0.08333,0.14136,0.06897,0.79628,0.21053,0.90665,0.61451,0.19849,0.2973,0.7158,0.12903,-1.0533,0.04401,-1.16104,-3.00482,0.0,0.01923,0.0,-1.08454
0.26093,0.16667,0.0,0.0,0.77472,0.21053,0.34556,0.59349,0.24171,0.0991,0.91334,0.06452,-0.37892,0.23,-0.37746,-0.18908,0.03104,0.30769,0.00522,-0.49827
0.15287,0.08333,0.0,0.0,0.74937,0.18421,-0.00578,0.67793,0.22915,0.12162,0.8853,0.19355,-0.78625,0.13433,-0.84761,-1.56038,0.0054,0.18269,0.0014,-0.88772
0.51378,0.33333,0.0,0.0,0.72039,0.10526,1.6523,0.5523,0.22462,0.05856,0.93782,0.03226,-0.55946,0.17054,-0.62736,-0.22252,0.00945,0.32692,0.00289,-0.61971
0.0,0.0,0.05133,0.03448,0.755,0.0,-1.00196,0.60782,0.22111,0.11261,0.88992,0.06452,-0.94274,0.10011,-1.03821,-1.8039,0.0108,0.06731,0.0035,-0.98822
0.12152,0.04167,0.06534,0.03448,0.76369,0.10526,0.7838,0.54695,0.22965,0.13964,0.87271,0.03226,-1.07669,0.11911,-1.18222,-2.34444,0.00135,0.03846,0.00043,-1.0636
0.56903,0.125,0.59347,0.24138,0.60272,0.0,-1.00196,0.86963,0.18894,0.16216,0.82149,0.35484,0.29264,0.46509,0.03763,0.70474,0.07962,0.31731,0.01279,0.021
0.0,0.0,0.24107,0.10345,0.59891,0.07895,0.00313,0.77976,0.19246,0.09009,0.89139,0.06452,1.81148,0.66429,1.2109,0.9332,0.24291,0.13462,0.07951,1.33591
0.42933,0.125,0.0,0.0,0.74121,0.23684,0.75629,0.75421,0.24623,0.11712,0.90133,0.22581,1.27851,0.49809,1.21514,0.89176,0.2834,0.21154,0.04923,1.28566
1.0,0.125,0.13046,0.06897,0.71656,0.26316,0.99893,0.79357,0.21206,0.13063,0.86967,0.16129,-0.13185,0.39951,-0.19109,0.68829,0.09177,0.28846,0.01097,-0.18839
0.49148,0.125,0.06883,0.03448,0.74205,0.10526,-0.38955,0.89053,0.21508,0.26126,0.763,0.32258,-0.34971,0.26506,-0.3944,0.24572,0.0108,0.44231,0.00311,-0.43127
0.91117,0.29167,0.09287,0.03448,0.71659,0.15789,-0.12243,0.77512,0.19146,0.24775,0.74944,0.16129,1.71514,1.0,0.97371,0.92398,0.66262,0.08654,0.10764,1.0679
0.40387,0.125,0.08702,0.03448,0.6986,0.05263,-0.73889,0.74472,0.20603,0.12613,0.86998,0.16129,0.55039,0.32519,0.36378,0.75389,0.10256,0.36538,0.01573,0.41045
0.0,0.0,0.0,0.0,0.75947,0.34211,0.98728,0.87809,0.25075,0.40541,0.70464,0.51613,0.35278,0.4936,0.57132,0.756,0.18893,0.39423,0.01512,0.47745
0.49784,0.125,0.0,0.0,0.6496,0.02632,-0.85987,0.95158,0.16935,0.11712,0.84676,0.16129,0.93698,0.38428,0.3426,0.8463,0.09717,0.35577,0.01649,0.4272
0.2617,0.08333,0.0637,0.03448,0.7101,0.0,-1.00196,0.90646,0.20905,0.26577,0.75457,0.35484,0.0716,0.27784,-0.03014,0.59077,0.07018,0.36538,0.00961,-0.05438
0.35725,0.125,0.17935,0.10345,0.75992,0.28947,1.02812,0.88919,0.21709,0.21622,0.80312,0.25806,0.32362,0.24192,0.32989,0.58149,0.04588,0.47115,0.00995,0.27644
0.3175,0.125,0.60753,0.17241,0.69068,0.05263,-0.78597,0.88986,0.20704,0.32432,0.7074,0.35484,0.79532,0.5004,0.5925,0.80691,0.29555,0.24038,0.02939,0.5947
0.55634,0.29167,0.0,0.0,0.80291,0.05263,-0.72515,0.89922,0.19899,0.27477,0.73671,0.51613,-0.38881,0.21522,-0.34781,0.39552,0.04993,0.27885,0.00789,-0.39777
0.0,0.0,0.65674,0.13793,0.75439,0.05263,-0.72123,0.75161,0.20603,0.18018,0.82089,0.06452,0.29112,0.48544,0.12235,0.70839,0.13495,0.32692,0.01316,0.07962
0.07946,0.04167,0.36547,0.10345,0.66495,0.18421,-0.15559,0.81331,0.20503,0.23874,0.76977,0.12903,-0.18135,0.29895,-0.2758,0.60837,0.07962,0.26923,0.01114,-0.23864
0.0,0.0,0.1618,0.10345,0.78424,0.05263,-0.81926,0.70937,0.32563,0.2027,0.87818,0.19355,-0.06654,0.3444,0.31719,0.73714,0.12551,0.41346,0.01297,0.36857
0.0,0.0,0.43818,0.13793,0.68326,0.13158,-0.3926,0.81514,0.23417,0.13964,0.87574,0.09677,1.42236,0.47252,1.36338,0.90322,0.18758,0.30769,0.03529,1.43223
0.0,0.0,0.3799,0.17241,0.69726,0.18421,0.41557,0.83746,0.22563,0.13063,0.87733,0.09677,-0.16764,0.35355,-0.21227,0.59847,0.09987,0.27885,0.01148,-0.18839
0.25057,0.16667,0.72625,0.13793,0.75764,0.10526,0.46325,0.80045,0.20603,0.12162,0.87252,0.09677,0.66965,0.46077,0.42308,0.7178,0.10796,0.33654,0.01728,0.40207
0.0,0.0,0.65865,0.17241,0.72229,0.13158,-0.38429,0.77348,0.21809,0.16667,0.84071,0.19355,0.47907,0.37491,0.45696,0.7084,0.12281,0.33654,0.0174,0.41045
0.0,0.0,0.68159,0.24138,0.73628,0.15789,-0.00752,0.85471,0.21005,0.17117,0.83172,0.09677,-0.11222,0.22559,-0.14026,0.59195,0.06343,0.36538,0.00911,-0.09207
0.0,0.0,0.2598,0.10345,0.77244,0.18421,-0.04568,0.8139,0.23668,0.23423,0.80408,0.12903,0.9789,0.3334,1.10501,0.80232,0.16599,0.41346,0.02128,1.08047
0.0,0.0,1.0,0.24138,0.76285,0.15789,-0.1791,0.8518,0.2005,0.1982,0.80003,0.06452,1.3886,0.44504,1.06265,0.84038,0.15924,0.31731,0.02843,1.05534
0.0,0.0,0.13083,0.13793,0.74825,0.36842,-0.18216,0.51598,0.65276,0.43243,0.88196,0.45161,-0.47056,0.39483,0.97371,0.69612,0.32794,0.55769,0.0123,0.79571
0.0,0.0,0.35902,0.17241,0.76766,0.15789,-0.21055,0.85875,0.21608,0.17117,0.83849,0.06452,-0.7843,0.11565,-0.82643,-1.03126,0.02429,0.15385,0.00393,-0.83747
0.0,0.0,0.0,0.0,0.68042,0.18421,0.21577,0.79564,0.22462,0.11261,0.89346,0.09677,0.55248,0.12697,1.16854,0.53511,0.04858,1.0,0.00611,1.01765
0.0,0.0,0.05393,0.03448,0.77442,0.15789,0.25767,0.89019,0.23116,0.05405,0.94383,0.03226,-0.35764,0.06893,0.4019,0.00655,0.04049,0.79808,0.00308,0.09637
0.43873,0.83333,0.0,0.0,0.70076,0.21053,-0.6077,0.2047,0.67236,0.29279,0.92698,0.09677,-0.84119,0.02371,0.66451,-0.28514,0.02159,0.86538,0.00362,0.29319
0.0,0.0,0.44541,0.17241,0.70022,0.13158,-0.3452,0.81219,0.2407,0.05856,0.94344,0.06452,-0.65677,0.03826,-0.13179,-0.1338,0.02294,0.47115,0.00357,-0.34333
0.0,0.0,0.05169,0.03448,0.74175,0.0,-1.00196,0.94304,0.22362,0.22072,0.80532,0.29032,0.52634,0.0898,1.25749,0.62125,0.07692,1.0,0.00693,1.18516
0.5363,0.20833,0.0,0.0,0.77303,0.18421,0.24239,0.7768,0.23266,0.11261,0.89708,0.09677,-0.73634,0.10651,-0.30969,-0.29671,0.01889,0.39423,0.00267,-0.54015
0.0,0.0,0.04484,0.03448,0.72444,0.05263,-0.57471,0.82689,0.27588,0.27027,0.80917,0.22581,-0.30458,0.26903,0.03763,0.49919,0.05128,0.34615,0.00954,-0.11301
0.45696,0.29167,0.0,0.0,0.724,0.15789,0.05411,0.82332,0.21558,0.12162,0.8774,0.16129,-0.00897,0.20866,0.0334,0.50338,0.06208,0.375,0.00947,-0.03763
0.0,0.0,0.0,0.0,0.81093,0.0,-1.00196,1.0,0.2196,0.14865,0.86043,0.06452,0.40971,0.21484,0.57979,0.62906,0.06748,0.49038,0.01159,0.49839
0.0,0.0,0.0,0.0,0.71937,0.0,-1.00196,0.87185,0.23166,0.16667,0.85286,0.06452,-0.60485,0.23714,-0.55112,0.24634,0.02834,0.25962,0.00554,-0.57365
0.0,0.0,0.0,0.0,0.81669,0.0,-1.00196,0.99153,0.2,0.08559,0.90415,0.16129,0.21035,0.21737,0.05881,0.58415,0.06748,0.34615,0.01158,0.03356
0.37437,0.20833,0.1078,0.06897,0.84344,0.10526,-0.52998,0.92269,0.24221,0.30631,0.76018,0.25806,-0.46029,0.17741,-0.2758,0.25284,0.06208,0.26923,0.00817,-0.40614
0.45622,0.20833,0.0,0.0,0.82052,0.15789,1.76431,0.91857,0.24874,0.18468,0.84882,0.12903,-0.58175,0.06325,0.06728,-0.20364,0.01619,0.625,0.00232,-0.25958
0.33264,0.16667,0.11315,0.06897,0.73388,0.10526,-0.37568,0.87794,0.20553,0.21622,0.79139,0.19355,-0.88011,0.10377,-0.99162,-2.13788,0.00405,0.08654,0.00151,-0.9966
0.39111,0.20833,0.0,0.0,0.85727,0.15789,1.36399,0.78344,0.1794,0.13063,0.84357,0.22581,-0.92993,0.0659,-1.02551,-2.23857,0.00405,0.08654,0.00086,-1.00916
0.46748,0.25,0.04801,0.03448,0.82249,0.10526,2.27424,0.90542,0.34975,0.27928,0.84707,0.35484,-0.9374,0.06898,-0.81372,-1.92846,0.01215,0.14423,0.00309,-0.87935
0.09938,0.08333,0.0,0.0,0.81161,0.28947,1.56891,0.68031,0.25528,0.15766,0.87234,0.25806,-1.05963,0.06461,-1.13563,-3.6144,0.00135,0.01923,0.00072,-1.08035
0.54683,0.33333,0.76282,0.41379,0.80344,0.44737,1.63481,0.73018,0.31759,0.29279,0.82313,0.48387,-0.94609,0.11738,-0.90691,-1.15985,0.0054,0.16346,0.00155,-0.90447
0.31837,0.125,0.06701,0.03448,0.73269,0.0,-1.00196,0.98456,0.17387,0.3018,0.67709,0.29032,-0.61803,0.04621,-0.63159,-1.0366,0.0081,0.33654,0.00167,-0.6909
0.05666,0.04167,0.0,0.0,0.73125,0.0,-1.00196,0.77727,0.19045,0.13514,0.84711,0.22581,-0.74147,0.14413,-0.85608,-0.82055,0.0135,0.17308,0.0034,-0.82491
0.3878,0.20833,0.0,0.0,0.81204,0.07895,0.33133,0.63089,0.13317,0.05856,0.88211,0.16129,-1.02714,0.10268,-1.21187,-3.63649,0.0,0.01923,0.0,-1.08454
0.16173,0.08333,0.0,0.0,0.71002,0.0,-1.00196,0.79589,0.19347,0.14414,0.84148,0.29032,-0.78627,0.07281,-0.84337,-1.5113,0.00405,0.23077,0.00052,-0.87516
